Estacion;Fecha inicial;Fecha final;PM2.5
ZIPAQUIRÁ - EFZ;4/01/2024 11:00;4/01/2024 11:59;17,6
ZIPAQUIRÁ - EFZ;4/01/2024 10:00;4/01/2024 10:59;36,44
ZIPAQUIRÁ - EFZ;4/01/2024 8:00;4/01/2024 8:59;22,04
ZIPAQUIRÁ - EFZ;4/01/2024 7:00;4/01/2024 7:59;22,6
ZIPAQUIRÁ - EFZ;4/01/2024 6:00;4/01/2024 6:59;12,96
ZIPAQUIRÁ - EFZ;4/01/2024 5:00;4/01/2024 5:59;11,84
ZIPAQUIRÁ - EFZ;4/01/2024 4:00;4/01/2024 4:59;7,96
ZIPAQUIRÁ - EFZ;4/01/2024 3:00;4/01/2024 3:59;7,14
ZIPAQUIRÁ - EFZ;4/01/2024 2:00;4/01/2024 2:59;11,04
ZIPAQUIRÁ - EFZ;4/01/2024 1:00;4/01/2024 1:59;11,82
ZIPAQUIRÁ - EFZ;4/01/2024 0:00;4/01/2024 0:59;7,04
ZIPAQUIRÁ - EFZ;3/01/2024 23:00;3/01/2024 23:59;8,18
ZIPAQUIRÁ - EFZ;3/01/2024 22:00;3/01/2024 22:59;12,86
ZIPAQUIRÁ - EFZ;3/01/2024 21:00;3/01/2024 21:59;8,93
ZIPAQUIRÁ - EFZ;3/01/2024 20:00;3/01/2024 20:59;7,12
ZIPAQUIRÁ - EFZ;3/01/2024 19:00;3/01/2024 19:59;9,96
ZIPAQUIRÁ - EFZ;3/01/2024 18:00;3/01/2024 18:59;8,96
ZIPAQUIRÁ - EFZ;3/01/2024 17:00;3/01/2024 17:59;8
ZIPAQUIRÁ - EFZ;3/01/2024 16:00;3/01/2024 16:59;8,11
ZIPAQUIRÁ - EFZ;3/01/2024 15:00;3/01/2024 15:59;11,04
ZIPAQUIRÁ - EFZ;3/01/2024 14:00;3/01/2024 14:59;11,86
ZIPAQUIRÁ - EFZ;3/01/2024 13:00;3/01/2024 13:59;8
ZIPAQUIRÁ - EFZ;3/01/2024 12:00;3/01/2024 12:59;8,14
ZIPAQUIRÁ - EFZ;3/01/2024 11:00;3/01/2024 11:59;12,53
ZIPAQUIRÁ - EFZ;3/01/2024 10:00;3/01/2024 10:59;27,35
ZIPAQUIRÁ - EFZ;3/01/2024 9:00;3/01/2024 9:59;36,79
ZIPAQUIRÁ - EFZ;3/01/2024 8:00;3/01/2024 8:59;31,21
